Bogen;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;0;0;0;0;0;0;0;0;0;0;0;5;2;4;P
2;;;;;;;;;;;;8;1;4;P
3;1;1;5;1;7;3;3;1;1;1;4;5;2;4;P
4;;;;;;7;;;;;;6;1;6;P
5;0;0;4;4;4;4;0;0;0;0;0;;1;5;P
6;1;1;1;1;1;1;4;7;1;1;1;8;1;3;P
7;3;5;0;5;6;1;4;1;0;4;7;3;1;2;P
8;5;5;6;6;4;1;1;1;1;1;1;4;1;2;P
9;1;5;1;5;1;1;0;0;1;1;1;7;1;3;P
10;0;0;0;0;0;0;0;0;0;0;0;3;1;4;P
11;;1;1;1;5;;2;1;4;4;5;6;2;6;P
12;3;3;7;7;0;1;2;1;3;3;7;5;2;4;P
13;4;4;4;2;2;7;3;1;0;0;5;10;1;4;P
14;1;1;2;2;3;7;1;6;1;1;1;6;1;5;P
15;5;3;7;3;3;1;1;1;1;1;7;3;1;1;P
16;5;5;6;5;6;1;1;1;6;4;6;3;2;1;P
17;3;5;4;2;5;4;2;1;3;2;4;5;2;1;P
18;1;1;3;6;7;7;3;3;3;3;1;6;2;6;P
19;6;6;5;3;7;1;2;1;1;1;1;5;1;2;P
20;4;7;7;2;2;1;4;1;5;5;5;3;2;5;P
21;4;6;6;7;1;1;1;1;1;1;1;4;1;5;P
22;1;1;1;1;1;1;1;1;1;1;1;;1;2;P
23;1;1;1;1;7;7;1;1;1;1;1;6;1;6;P
24;1;1;0;1;0;0;;1;;;0;5;2;7;P
25;0;1;3;3;3;3;1;4;1;1;4;8;1;6;P
26;1;1;2;1;1;3;7;1;1;1;1;7;1;4;P
27;1;1;3;3;3;3;3;3;3;3;3;6;2;2;P
28;2;2;4;5;6;3;7;2;2;2;2;7;1;2;P
29;1;1;1;1;2;6;4;4;1;1;1;6;2;3;P
30;2;2;2;3;6;6;2;1;2;2;5;6;2;3;P
31;2;1;4;4;4;3;5;2;0;0;3;;2;3;P
32;3;3;2;2;4;7;0;7;0;0;0;3;1;6;P
33;0;0;0;0;0;0;0;0;0;0;0;6;1;4;P
34;1;4;3;3;4;4;4;1;3;2;3;6;1;1;P
35;1;1;1;2;2;1;7;6;1;1;1;7;1;5;P
36;0;0;0;0;1;4;4;4;0;0;0;6;2;3;P
37;4;3;4;2;5;4;3;0;6;2;2;8;1;4;P
38;7;1;;1;0;;7;0;0;0;0;;1;2;P
39;4;0;5;6;3;1;1;1;2;0;0;4;1;2;P
40;5;5;4;6;4;2;1;1;3;3;3;4;2;5;P
41;0;0;1;0;7;1;7;7;1;7;1;8;1;2;P
42;0;0;1;1;7;1;1;1;1;1;1;5;1;1;P
43;1;2;1;5;1;5;5;1;3;3;5;6;1;1;P
44;1;1;4;7;4;1;1;1;1;1;1;4;1;6;P
45;2;3;5;5;5;1;5;5;1;1;5;8;1;2;P
46;1;1;1;2;6;1;1;1;1;1;1;5;1;3;P
47;5;6;7;7;4;1;1;1;4;1;6;3;2;1;P
48;1;2;3;3;7;1;5;1;1;0;2;5;1;1;P
49;2;2;3;3;7;3;1;1;1;1;1;5;2;4;P
50;0;0;0;0;0;0;0;0;0;0;0;5;1;2;P
51;1;3;4;7;6;1;1;1;0;0;0;4;1;2;P
52;4;4;4;4;4;1;4;7;4;4;4;8;1;3;P
53;2;2;7;6;2;1;1;1;1;1;1;5;1;4;P
54;4;4;7;4;1;1;1;1;0;0;3;3;2;5;P
55;4;4;4;3;4;6;7;7;5;5;5;4;2;4;P
56;2;2;2;2;5;2;2;1;2;2;2;5;1;1;P
57;2;2;3;5;4;5;4;3;5;3;5;9;2;2;P
58;1;2;2;3;6;5;2;1;1;1;4;5;2;5;P
59;1;1;1;4;6;1;1;1;1;1;1;5;1;3;P
60;3;2;3;3;5;6;2;6;4;5;3;7;1;4;P
61;;;;;;5;;;;;;6;2;6;P
62;0;5;6;4;4;1;6;1;0;0;0;;1;1;P
63;1;1;;7;6;6;6;1;4;2;2;4;1;4;P
64;1;1;1;1;;1;2;1;7;7;7;6;2;6;P
65;2;3;4;6;4;3;3;1;4;2;2;4;2;3;P
66;1;1;2;2;6;6;1;7;1;1;1;8;2;5;P
67;4;1;6;4;6;4;2;5;2;2;2;6;1;5;P
68;5;5;5;5;5;5;5;2;3;4;7;5;2;1;P
69;1;1;1;1;1;1;1;1;1;1;1;;2;2;P
70;1;1;2;2;4;6;2;4;2;2;2;6;2;6;P
71;6;7;7;6;1;1;1;1;1;1;4;3;2;5;P
72;5;5;5;5;5;6;5;5;5;5;5;6;1;3;P
73;7;7;7;7;3;1;3;1;1;1;3;4;2;4;P
74;5;;5;5;5;5;;3;5;5;5;5;1;4;P
75;0;0;0;0;0;0;0;4;0;0;0;8;1;4;P
76;5;4;5;4;3;1;4;1;0;0;6;11;1;2;P
