Bogen;polling_station;Nathalie Arthaud;Philippe Poutou;Jean-Luc Melenchon;Benoit Hamon;Emmanuel Macron;Francois Fillon;Nicolas Dupont-Aignan;Marine Le Pen;Jacques Cheminade;Francois Asselineau;Jean Lassalle;choice;Vous etes ...;Votre age est ...;Datensatz-Ursprung
1;;0;0;0;0;0;0;0;0;0;0;0;8;2;4;P
2;1;1;1;1;1;1;1;1;1;1;1;1;8;2;5;P
3;1;1;1;1;1;1;1;1;7;1;1;1;8;1;4;P
4;2;1;1;1;4;3;2;5;7;4;1;1;8;1;4;P
5;1;1;3;6;5;4;1;4;1;3;1;5;;1;5;P
6;;2;2;5;4;7;1;4;4;4;4;4;5;2;5;P
7;2;0;7;7;7;1;1;1;1;7;7;7;3;1;7;P
8;2;0;0;0;0;0;0;0;0;0;0;0;5;2;5;P
9;1;1;1;0;0;7;1;3;7;1;1;1;5;1;3;P
10;2;;;;;7;;;;;;;5;2;;P
11;1;1;1;2;3;7;1;1;1;1;1;0;5;2;4;P
12;1;1;1;1;4;1;1;1;4;4;1;1;8;2;2;P
13;2;5;5;5;5;5;;;7;7;7;7;;2;3;P
14;2;;;;;;;;;;;;;;;P
15;2;1;1;3;1;4;2;1;3;3;3;3;;2;3;P
16;;;;;;;;;;;;;9;1;6;P
17;1;1;1;1;3;2;5;3;7;2;2;2;;1;1;P
18;2;4;4;3;5;6;1;4;4;6;6;4;5;1;4;P
19;1;4;4;6;3;1;1;4;7;3;4;2;;1;4;P
20;1;3;3;3;3;3;1;3;7;3;3;3;8;2;3;P
21;1;0;0;0;0;0;0;0;0;0;0;0;;1;6;P
22;1;1;1;2;2;6;4;2;2;2;2;2;5;2;1;P
23;1;5;5;5;3;1;7;1;1;3;3;3;6;1;6;P
24;1;6;6;3;3;3;7;5;7;7;7;7;3;1;5;P
25;;5;5;5;5;3;1;1;1;;;;4;1;5;P
26;1;0;0;0;0;0;0;0;0;0;0;0;;1;1;P
27;2;5;6;7;6;4;2;1;1;4;1;3;3;1;1;P
28;1;0;0;7;0;7;1;0;1;0;0;0;3;1;4;P
29;1;0;0;7;0;7;0;0;0;0;0;0;3;2;1;P
30;2;0;4;7;5;1;1;1;1;1;1;1;3;1;5;P
31;2;;;;;2;1;;1;;;;;1;5;P
32;1;1;0;1;0;0;1;0;1;0;0;0;;1;1;P
33;2;3;1;1;3;5;4;6;4;1;1;1;7;2;1;P
34;1;;6;;;;;;;;;;;2;5;P
35;2;1;1;7;1;1;1;1;1;1;1;1;3;2;3;P
36;1;0;0;;7;7;1;0;1;0;0;0;4;1;6;P
37;;;;;;;;;;;;;;2;5;P
38;1;1;;;;7;;;;;;;5;1;4;P
39;1;0;3;6;6;5;1;0;1;1;1;1;3;1;1;P
40;1;4;4;5;6;4;1;3;1;5;3;3;4;2;7;P
41;2;0;0;1;1;5;1;7;7;0;0;0;8;1;1;P
42;2;0;0;;1;1;;0;0;1;1;1;8;1;6;P
43;1;1;1;7;4;7;7;4;7;2;2;4;3;1;6;P
44;;0;0;0;;1;1;2;0;1;;0;8;1;7;P
45;2;0;1;0;0;7;1;0;1;0;0;0;5;2;6;P
46;1;1;5;5;5;5;5;5;5;1;1;1;5;1;2;P
47;1;4;5;5;5;3;1;3;1;0;4;5;3;2;4;P
