"";"department";"municipality_code";"municipality_name";"polling_station_number";"polling_station_unique";"fr_voters";"fr_valid_votes";"fr_votes_hollande";"sr_valid_votes";"sr_votes_hollande";"in_sample";"id";"first_stage"
"10";13;34;"Eygalières";"001";"34.000113";682;671;132;672;251;"yes";"34Eygalieres";0,00038929511497991
"20";13;34;"Eygalières";"002";"34.000213";664;653;142;636;224;"no";"34Eygalieres";0,000379020463851408
"30";13;103;"Salon-de-Provence";"010";"103.001013";1281;1255;221;1205;416;"no";"103Salon-de-Provence";0,000731212671978395
"40";13;103;"Salon-de-Provence";"013";"103.001313";1023;1009;190;941;351;"yes";"103Salon-de-Provence";0,000583942672469866
"50";22;353;"Trégastel";"001";"353.000122";707;697;220;696;351;"no";"353Tregastel";0,000403565463769497
"60";22;353;"Trégastel";"002";"353.000222";743;733;205;710;374;"yes";"353Tregastel";0,000424114766026501
"70";31;37;"Avignonet-Lauragais";"002";"37.000231";254;248;102;236;155;"yes";"37Avignonet-Lauragais";0,000144986743702195
"80";31;116;"Castelginest";"001";"116.000131";909;900;275;868;456;"yes";"116Castelginest";0,000518869881989353
"90";31;420;"Pinsaguel";"001";"420.000131";901;878;271;820;474;"no";"420Pinsaguel";0,000514303370376685
"100";31;420;"Pinsaguel";"002";"420.000231";880;868;281;824;430;"yes";"420Pinsaguel";0,000502316277393433
"110";33;318;"Pessac";"038";"318.003833";944;929;317;935;476;"no";"318Pessac";0,000538848370294773
"120";33;318;"Pessac";"039";"318.003933";857;839;335;799;517;"yes";"318Pessac";0,000489187556507014
"130";33;318;"Pessac";"040";"318.004033";806;798;296;789;445;"no";"318Pessac";0,000460076044976258
"140";33;318;"Pessac";"041";"318.004133";707;694;235;684;381;"no";"318Pessac";0,000403565463769497
"150";33;318;"Pessac";"042";"318.004233";876;858;261;834;463;"no";"318Pessac";0,000500033021587099
"160";36;228;"Valençay";"001";"228.000136";972;946;265;881;470;"yes";"228Valencay";0,00055483116093911
"170";36;228;"Valençay";"002";"228.000236";723;697;164;656;374;"no";"228Valencay";0,000412698486994832
"180";49;78;"Charcé-Saint-Ellier-sur-Aubance";"001";"78.000149";494;484;118;445;236;"yes";"78Charce-Saint-Ellier-sur-Aubance";0,000281982092082223
"190";54;328;"Ludres";"003";"328.000354";806;782;256;743;408;"yes";"328Ludres";0,000460076044976258
"200";57;666;"Terville";"003";"666.000357";475;462;188;443;307;"no";"666Terville";0,000271136627002137
"210";57;666;"Terville";"004";"666.000457";580;572;155;546;274;"no";"666Terville";0,000331072091918399
"220";57;666;"Terville";"005";"666.000557";588;576;198;570;348;"no";"666Terville";0,000335638603531067
"230";57;666;"Terville";"006";"666.000657";524;518;157;473;282;"yes";"666Terville";0,000299106510629726
"240";60;42;"Bailleval";"001";"42.000160";937;921;219;851;412;"yes";"42Bailleval";0,000534852672633689
"250";61;486;"Tinchebray";"001";"486.000161";744;724;201;703;378;"no";"486Tinchebray";0,000424685579978084
"260";61;486;"Tinchebray";"002";"486.000261";982;963;288;900;489;"yes";"486Tinchebray";0,000560539300454944
"270";69;123;"Lyon";"511";"123.051169";907;887;226;870;388;"no";"123Lyon";0,000517728254086186
"280";69;123;"Lyon";"512";"123.051269";869;855;251;821;393;"yes";"123Lyon";0,000496037323926015
"290";74;81;"Cluses";"001";"81.000174";733;716;127;697;271;"no";"81Cluses";0,000418406626510666
"300";74;81;"Cluses";"002";"81.000274";549;542;110;527;213;"yes";"81Cluses";0,000313376859419312
"310";74;81;"Cluses";"003";"81.000374";782;773;165;746;299;"no";"81Cluses";0,000446376510138255
"320";74;81;"Cluses";"004";"81.000474";738;730;174;709;315;"no";"81Cluses";0,000421260696268583
"330";76;35;"Aumale";"001";"35.000176";1355;1333;263;1288;486;"yes";"35Aumale";0,00077345290439557
"340";83;137;"Toulon";"036";"137.003683";403;395;94;386;181;"yes";"137Toulon";0,000230038022488129
"350";83;137;"Toulon";"037";"137.003783";329;321;108;323;198;"no";"137Toulon";0,000187797790070954
"360";83;137;"Toulon";"038";"137.003883";828;812;163;775;302;"no";"137Toulon";0,000472633951911094
"370";92;63;"Rueil-Malmaison";"028";"63.002892";914;896;235;886;391;"no";"63Rueil-Malmaison";0,00052172395174727
"380";92;63;"Rueil-Malmaison";"029";"63.002992";945;938;228;970;388;"no";"63Rueil-Malmaison";0,000539419184246357
"390";92;63;"Rueil-Malmaison";"030";"63.003092";747;740;203;759;351;"yes";"63Rueil-Malmaison";0,000426398021832835
"400";92;63;"Rueil-Malmaison";"031";"63.003192";666;655;194;692;323;"no";"63Rueil-Malmaison";0,000380162091754575
"410";92;63;"Rueil-Malmaison";"032";"63.003292";793;780;231;818;401;"no";"63Rueil-Malmaison";0,000452655463605673
"420";93;48;"Montreuil";"003";"48.000393";595;589;220;588;437;"yes";"48Montreuil";0,000339634301192151
"430";93;48;"Montreuil";"004";"48.000493";535;532;219;536;425;"no";"48Montreuil";0,000305385464097144
"440";93;51;"Noisy-le-Grand";"029";"51.002993";539;531;160;542;273;"yes";"51Noisy-le-Grand";0,000307668719903478
